websites,Root CA,LastInterCA
bilibili.com,GlobalSign nv-sa,"{'C': 'BE', 'O': 'GlobalSign nv-sa', 'CN': 'GlobalSign RSA OV SSL CA 2018'}"
doi.org,"Starfield Technologies, Inc.","{'C': 'US', 'O': 'Amazon', 'OU': 'Server CA 1B', 'CN': 'Amazon'}"
cnblogs.com,DigiCert Inc,"{'C': 'US', 'O': 'DigiCert Inc', 'OU': 'www.digicert.com', 'CN': 'Encryption Everywhere DV TLS CA - G1'}"
okta.com,DigiCert Inc,"{'C': 'US', 'O': 'DigiCert Inc', 'OU': 'www.digicert.com', 'CN': 'DigiCert SHA2 High Assurance Server CA'}"
thestartmagazine.com,GlobalSign,"{'C': 'BE', 'O': 'GlobalSign nv-sa', 'CN': 'GlobalSign Atlas R3 DV TLS CA 2020'}"
scorecardresearch.com,Comodo CA Limited,"{'C': 'GB', 'ST': 'Greater Manchester', 'L': 'Salford', 'O': 'Sectigo Limited', 'CN': 'Sectigo RSA Domain Validation Secure Server CA'}"
gmail.com,GlobalSign,"{'C': 'US', 'O': 'Google Trust Services', 'CN': 'GTS CA 1O1'}"
goodreads.com,"Starfield Technologies, Inc.","{'C': 'US', 'O': 'Amazon', 'OU': 'Server CA 1B', 'CN': 'Amazon'}"
themeforest.net,Baltimore,"{'C': 'US', 'O': 'Cloudflare, Inc.', 'CN': 'Cloudflare Inc ECC CA-3'}"
tripadvisor.com,DigiCert Inc,"{'C': 'US', 'O': 'DigiCert Inc', 'OU': 'www.digicert.com', 'CN': 'DigiCert SHA2 Extended Validation Server CA'}"
free.fr,DigiCert Inc,"{'C': 'US', 'O': 'DigiCert Inc', 'OU': 'www.digicert.com', 'CN': 'RapidSSL RSA CA 2018'}"
addtoany.com,Baltimore,"{'C': 'US', 'O': 'Cloudflare, Inc.', 'CN': 'Cloudflare Inc ECC CA-3'}"
shutterstock.com,"Starfield Technologies, Inc.","{'C': 'US', 'O': 'Amazon', 'OU': 'Server CA 1B', 'CN': 'Amazon'}"
google.ca,GlobalSign,"{'C': 'US', 'O': 'Google Trust Services', 'CN': 'GTS CA 1O1'}"
berkeley.edu,"Starfield Technologies, Inc.","{'C': 'US', 'O': 'Amazon', 'OU': 'Server CA 1B', 'CN': 'Amazon'}"
taboola.com,DigiCert Inc,"{'C': 'US', 'O': 'DigiCert Inc', 'CN': 'DigiCert TLS RSA SHA256 2020 CA1'}"
beian.gov.cn,Comodo CA Limited,"{'C': 'GB', 'ST': 'Greater Manchester', 'L': 'Salford', 'O': 'Sectigo Limited', 'CN': 'Sectigo RSA Domain Validation Secure Server CA'}"
zendesk.com,Baltimore,"{'C': 'US', 'O': 'Cloudflare, Inc.', 'CN': 'Cloudflare Inc ECC CA-3'}"
speedtest.net,GlobalSign nv-sa,"{'C': 'BE', 'O': 'GlobalSign nv-sa', 'CN': 'GlobalSign CloudSSL CA - SHA256 - G3'}"
grammarly.com,"Starfield Technologies, Inc.","{'C': 'US', 'O': 'Amazon', 'OU': 'Server CA 1B', 'CN': 'Amazon'}"
msftncsi.com,DigiCert Inc,"{'C': 'US', 'O': 'DigiCert Inc', 'OU': 'www.digicert.com', 'CN': 'DigiCert Secure Site ECC CA-1'}"
googletagservices.com,GlobalSign,"{'C': 'US', 'O': 'Google Trust Services', 'CN': 'GTS CA 1O1'}"
6.cn,DigiCert Inc,"{'C': 'US', 'O': 'DigiCert Inc', 'OU': 'www.digicert.com', 'CN': 'DigiCert CN RSA CA G1'}"
onlinesbi.com,DigiCert Inc,"{'C': 'US', 'O': 'DigiCert Inc', 'CN': 'DigiCert EV RSA CA G2'}"
mailchimp.com,DigiCert Inc,"{'C': 'US', 'O': 'DigiCert Inc', 'CN': 'DigiCert SHA2 Secure Server CA'}"
healthline.com,"Starfield Technologies, Inc.","{'C': 'US', 'O': 'Amazon', 'OU': 'Server CA 1B', 'CN': 'Amazon'}"
unsplash.com,GlobalSign,"{'C': 'BE', 'O': 'GlobalSign nv-sa', 'CN': 'GlobalSign Atlas R3 DV TLS CA 2020'}"
latimes.com,"Starfield Technologies, Inc.","{'C': 'US', 'O': 'Amazon', 'OU': 'Server CA 1B', 'CN': 'Amazon'}"
mediafire.com,Comodo CA Limited,"{'C': 'GB', 'ST': 'Greater Manchester', 'L': 'Salford', 'O': 'Sectigo Limited', 'CN': 'Sectigo RSA Domain Validation Secure Server CA'}"
gome.com.cn,DigiCert Inc,"{'C': 'US', 'O': 'DigiCert Inc', 'OU': 'www.digicert.com', 'CN': 'Secure Site CA G2'}"
chase.com,"Entrust, Inc.","{'C': 'US', 'O': 'Entrust, Inc.', 'OU': '(c) 2014 Entrust, Inc. - for authorized use only', 'CN': 'Entrust Certification Authority - L1M'}"
duckduckgo.com,DigiCert Inc,"{'C': 'US', 'O': 'DigiCert Inc', 'CN': 'DigiCert SHA2 Secure Server CA'}"
amazon.ca,"VeriSign, Inc.","{'C': 'US', 'O': 'DigiCert Inc', 'CN': 'DigiCert Global CA G2'}"
quora.com,Digital Signature Trust Co.,"{'C': 'US', 'O': ""Let's Encrypt"", 'CN': 'R3'}"
slack.com,DigiCert Inc,"{'C': 'US', 'O': 'DigiCert Inc', 'CN': 'DigiCert TLS RSA SHA256 2020 CA1'}"
discord.com,Baltimore,"{'C': 'US', 'O': 'Cloudflare, Inc.', 'CN': 'Cloudflare Inc ECC CA-3'}"
hotstar.com,DigiCert Inc,"{'C': 'US', 'O': 'DigiCert Inc', 'OU': 'www.digicert.com', 'CN': 'DigiCert Secure Site ECC CA-1'}"
ikea.com,DigiCert Inc,"{'C': 'US', 'O': 'DigiCert Inc', 'OU': 'www.digicert.com', 'CN': 'DigiCert ECC Extended Validation Server CA'}"
webmd.com,DigiCert Inc,"{'C': 'US', 'O': 'DigiCert Inc', 'OU': 'www.digicert.com', 'CN': 'Encryption Everywhere DV TLS CA - G1'}"
line.me,GlobalSign,"{'C': 'BE', 'O': 'GlobalSign nv-sa', 'CN': 'GlobalSign RSA OV SSL CA 2018'}"
cisco.com,QuoVadis Limited,"{'C': 'US', 'O': 'HydrantID (Avalanche Cloud Corporation)', 'CN': 'HydrantID SSL CA G3'}"
kickstarter.com,GlobalSign,"{'C': 'BE', 'O': 'GlobalSign nv-sa', 'CN': 'GlobalSign Atlas R3 DV TLS CA 2020'}"
